,cid,cidname,brand,model,funcid,target,target_ratings,target_rank,target_pos,target_neu,target_neg,target_total,target_rate,target_rate_rank
927,2019070912,果冻/布丁,乖乖瘦,益生菌果冻,3445,质量,87.1,119,48,0,3,51,0.9411764705882353,119
481,2019070912,果冻/布丁,喜之郎,24杯果肉果冻定制,3443,包装,87.1,118,48,0,3,51,0.9411764705882353,116
603,2019070912,果冻/布丁,樱花泗,酵素果冻,3444,味道,87.97,113,32,1,1,34,0.9411764705882353,100
64,2019070912,果冻/布丁,喜之郎,蜜桔果肉果冻散称500G,3447,性价比,92.43,37,32,2,0,34,0.9411764705882353,24
650,2019070912,果冻/布丁,larbee/蜡笔小新,2.1KG果冻,3447,性价比,98.54,1,382,22,2,406,0.9408866995073891,25
848,2019070912,果冻/布丁,达心堂,酵素果冻,3448,功能,90.88,61,111,1,6,118,0.940677966101695,64
570,2019070912,果冻/布丁,cocon/可康,多口味果冻 含椰果 480G,3445,质量,88.09,117,63,0,4,67,0.9402985074626866,120
334,2019070912,果冻/布丁,旺旺,维多粒,3445,质量,86.59,120,47,0,3,50,0.94,121
38,2019070912,果冻/布丁,都乐梦,慕斯,3454,外观,95.18,3,47,3,0,50,0.94,4
97,2019070912,果冻/布丁,平野,浓厚牛奶芝士布丁,3444,味道,91.92,76,47,2,1,50,0.94,101
111,2019070912,果冻/布丁,larbee/蜡笔小新,鲜Q果冻爽150G*8包,3443,包装,90.79,94,172,0,11,183,0.9398907103825137,117
638,2019070912,果冻/布丁,盛香珍,果冻布丁,3444,味道,88.96,105,46,1,2,49,0.9387755102040817,102
575,2019070912,果冻/布丁,御食园,果冻爽,3444,味道,92.6,65,458,3,27,488,0.9385245901639344,103
534,2019070912,果冻/布丁,蓓俪芙,养森系列,3448,功能,88.06,70,30,1,1,32,0.9375,65
929,2019070912,果冻/布丁,乖乖瘦,益生菌果冻,3447,性价比,91.76,45,45,2,1,48,0.9375,26
375,2019070912,果冻/布丁,果爱,什锦果冻,3445,质量,84.49,123,30,0,2,32,0.9375,122
275,2019070912,果冻/布丁,佳达,拖肥,3447,性价比,95.99,14,238,11,5,254,0.937007874015748,27
706,2019070912,果冻/布丁,喜之郎,果冻360G,3455,分量,91.45,5,59,2,2,63,0.9365079365079365,7
445,2019070912,果冻/布丁,樱桃小丸子,果冻布丁,3443,包装,90.42,96,118,1,7,126,0.9365079365079365,118
13,2019070912,果冻/布丁,平野,芝士味/焦糖味布丁,3445,质量,85.86,122,44,0,3,47,0.9361702127659575,123
459,2019070912,果冻/布丁,maizhao/唛兆,阿Q果冻,3447,性价比,91.65,47,44,2,1,47,0.9361702127659575,28
365,2019070912,果冻/布丁,来伊份,奶酪布丁,3443,包装,88.54,108,44,1,2,47,0.9361702127659575,119
281,2019070912,果冻/布丁,存臻,酵素果冻组合,3446,口感,85.91,63,44,0,3,47,0.9361702127659575,60
716,2019070912,果冻/布丁,徐福记,小叭叭 益起C,3447,性价比,88.58,61,44,1,2,47,0.9361702127659575,29
419,2019070912,果冻/布丁,喜之郎,CICI果汁果冻15包,3447,性价比,95.05,17,44,3,0,47,0.9361702127659575,30
564,2019070912,果冻/布丁,果延嗖,果延嗖酵素果冻,3448,功能,88.11,69,73,0,5,78,0.9358974358974359,66
842,2019070912,果冻/布丁,orihiro/欧力喜乐,双拼果冻,3443,包装,83.52,136,29,0,2,31,0.9354838709677419,120
471,2019070912,果冻/布丁,旺旺,摇滚冻,3447,性价比,88.03,62,43,1,2,46,0.9347826086956522,31
161,2019070912,果冻/布丁,平野,80G,3443,包装,86.86,120,57,0,4,61,0.9344262295081968,121
482,2019070912,果冻/布丁,喜之郎,24杯果肉果冻定制,3444,味道,87.3,122,28,1,1,30,0.9333333333333333,104
43,2019070912,果冻/布丁,sx/世熙堂,酵素果冻,3447,性价比,94.48,24,69,4,1,74,0.9324324324324325,32
83,2019070912,果冻/布丁,喜之郎,蜜桔果肉果冻,3444,味道,92.51,66,69,3,2,74,0.9324324324324325,105
428,2019070912,果冻/布丁,乖乖瘦,酵素果冻,3448,功能,90.09,66,192,0,14,206,0.9320388349514563,67
871,2019070912,果冻/布丁,秀尔魅,酵素果冻蓝莓味道,3446,口感,88.6,56,96,0,7,103,0.9320388349514563,61
85,2019070912,果冻/布丁,喜之郎,蜜桔果肉果冻,3447,性价比,86.89,66,27,1,1,29,0.9310344827586207,33
781,2019070912,果冻/布丁,喜之郎,果冻90G,3447,性价比,96.76,10,67,5,0,72,0.9305555555555556,34
606,2019070912,果冻/布丁,clever mama/巧妈妈,老酸奶布丁,3444,味道,91.99,73,535,4,36,575,0.9304347826086956,106
601,2019070912,果冻/布丁,喜之郎,乳酸什锦果冻360G*5袋,3455,分量,90.44,7,80,2,4,86,0.9302325581395349,8
94,2019070912,果冻/布丁,喜之郎,果肉果冻200G*16,3443,包装,86.14,123,53,0,4,57,0.9298245614035088,122
426,2019070912,果冻/布丁,乖乖瘦,酵素果冻,3446,口感,86.14,62,53,0,4,57,0.9298245614035088,62
138,2019070912,果冻/布丁,larbee/蜡笔小新,整箱果冻2100G,3444,味道,86.39,137,53,0,4,57,0.9298245614035088,107
462,2019070912,果冻/布丁,moca-king/摩咔金,乳酸菌布丁500G,3444,味道,90.4,91,159,2,10,171,0.9298245614035088,108
71,2019070912,果冻/布丁,慕诗,烧仙草,3447,性价比,91.28,50,92,3,4,99,0.9292929292929293,35
44,2019070912,果冻/布丁,sx/世熙堂,酵素果冻,3448,功能,91.86,54,552,4,38,594,0.9292929292929293,68
696,2019070912,果冻/布丁,苏晴子,CM7005,3447,性价比,94.57,22,118,6,3,127,0.9291338582677166,36
944,2019070912,果冻/布丁,bpc/童颜丸,类人肽小颜防晒果冻,3448,功能,92.03,53,26,2,0,28,0.9285714285714286,69
885,2019070912,果冻/布丁,esthe pro labo,胶原蛋白果冻,3445,质量,90.56,108,39,2,1,42,0.9285714285714286,124
439,2019070912,果冻/布丁,喜之郎,混装口味2500克,3445,质量,81.99,130,26,0,2,28,0.9285714285714286,125
93,2019070912,果冻/布丁,麦心诺,明星款果冻,3452,清肠排便效果,92.8,4,52,3,1,56,0.9285714285714286,2
666,2019070912,果冻/布丁,tarami,多肉组合,3444,味道,81.99,174,26,0,2,28,0.9285714285714286,109
287,2019070912,果冻/布丁,三叔公,黄桃冻+青梅冻,3444,味道,86.44,136,26,1,1,28,0.9285714285714286,110
921,2019070912,果冻/布丁,韩乐,优酪果冻1.75KG,3445,质量,84.44,124,39,0,3,42,0.9285714285714286,126
397,2019070912,果冻/布丁,爱飘飘,酵素果冻果粉,3445,质量,98.72,4,2942,200,29,3171,0.9277830337432986,127
834,2019070912,果冻/布丁,韩乐,韩乐优酪果冻2KG,3446,口感,87.23,59,77,0,6,83,0.927710843373494,63
923,2019070912,果冻/布丁,韩乐,优酪果冻1.75KG,3447,性价比,91.85,44,77,3,3,83,0.927710843373494,37
900,2019070912,果冻/布丁,萌萌星,萌萌星组合,3443,包装,84.15,132,38,0,3,41,0.926829268292683,123
284,2019070912,果冻/布丁,旺旺,132G*8,3444,味道,91.73,78,25,2,0,27,0.9259259259259259,111
297,2019070912,果冻/布丁,喜之郎,果肉果冻散称500G,3444,味道,85.96,139,25,1,1,27,0.9259259259259259,112
652,2019070912,果冻/布丁,徐福记,C的酷,3443,包装,88.77,106,149,0,12,161,0.9254658385093167,124
